date,type,Beløp inn,money out,category
21.05.2025,Varekjøp,,-212.86,Varekjøp
20.05.2025,Varekjøp,,-112.8,Varekjøp
20.05.2025,Overføring,,-3000.0,Overføring
20.05.2025,Varekjøp,,-54.9,Varekjøp
20.05.2025,Overføring,,-3500.0,Overføring
20.05.2025,Varekjøp,,-840.0,Varekjøp
20.05.2025,Varekjøp,,-62.93,Varekjøp
20.05.2025,Overføring,,-1500.0,Overføring
19.05.2025,Varekjøp,,-278.2,Varekjøp
19.05.2025,Varekjøp,,-211.8,Varekjøp
16.05.2025,Varekjøp,,-134.8,Varekjøp
16.05.2025,Varekjøp,,-58.7,Varekjøp
15.05.2025,Varekjøp,,-210.98,Varekjøp
14.05.2025,Overføring,,-1000.0,Overføring
14.05.2025,Varekjøp,,-472.38,Varekjøp
14.05.2025,Betaling innland,,-100.0,Betaling innland
14.05.2025,Overføring,,-8000.0,Overføring
14.05.2025,Varekjøp,,-750.0,Varekjøp
13.05.2025,Varekjøp,,-120.04,Varekjøp
12.05.2025,immediate,,-390.0,immediate
12.05.2025,immediate,,-400.0,immediate
12.05.2025,Varekjøp,,-397.3,Varekjøp
12.05.2025,Varekjøp,,-98.0,Varekjøp
12.05.2025,Varekjøp,,-39.0,Varekjøp
08.05.2025,Varekjøp,,-97.9,Varekjøp
08.05.2025,Varekjøp,,-100.0,Varekjøp
08.05.2025,Varekjøp,,-267.9,Varekjøp
08.05.2025,Varekjøp,,-82.7,Varekjøp
08.05.2025,Varekjøp,,-240.7,Varekjøp
07.05.2025,Varekjøp,,-169.74,Varekjøp
06.05.2025,Varekjøp,,-478.0,Varekjøp
06.05.2025,Varekjøp,,-425.0,Varekjøp
06.05.2025,Varekjøp,,-98.56,Varekjøp
06.05.2025,Varekjøp,,-754.86,Varekjøp
05.05.2025,Varekjøp,,-39.0,Varekjøp
05.05.2025,Varekjøp,,-224.7,Varekjøp
05.05.2025,immediate,,-267.0,immediate
05.05.2025,Varekjøp,,-99.0,Varekjøp
05.05.2025,immediate,,-55.0,immediate
05.05.2025,Overføring,,-5000.0,Overføring
05.05.2025,Varekjøp,,-96.4,Varekjøp
05.05.2025,Varekjøp,,-116.3,Varekjøp
05.05.2025,immediate,,-535.0,immediate
05.05.2025,Varekjøp,,-123.0,Varekjøp
02.05.2025,Varekjøp,,-58.0,Varekjøp
02.05.2025,immediate,,-110.0,immediate
02.05.2025,Overføring,,-6000.0,Overføring
02.05.2025,Varekjøp,,-478.36,Varekjøp
02.05.2025,Varekjøp,,-328.0,Varekjøp
29.04.2025,Varekjøp,,-56.0,Varekjøp
29.04.2025,Varekjøp,,-215.2,Varekjøp
28.04.2025,Varekjøp,,-64.0,Varekjøp
28.04.2025,Varekjøp,,-46.8,Varekjøp
28.04.2025,Varekjøp,,-140.4,Varekjøp
28.04.2025,Varekjøp,,-179.8,Varekjøp
28.04.2025,Varekjøp,,-23.4,Varekjøp
28.04.2025,Varekjøp,,-322.41,Varekjøp
25.04.2025,Omkostning,,-350.0,Omkostning
23.04.2025,Varekjøp,,-273.8,Varekjøp
23.04.2025,Varekjøp,,-45.9,Varekjøp
22.04.2025,Varekjøp,,-121.3,Varekjøp
22.04.2025,Varekjøp,,-30.5,Varekjøp
22.04.2025,Varekjøp,,-44.0,Varekjøp
22.04.2025,Varekjøp,,-138.9,Varekjøp
22.04.2025,immediate,,-70.0,immediate
22.04.2025,Varekjøp,,-187.0,Varekjøp
22.04.2025,immediate,,-60.0,immediate
22.04.2025,Varekjøp,,-247.0,Varekjøp
22.04.2025,Varekjøp,,-608.12,Varekjøp
16.04.2025,Varekjøp,,-118.0,Varekjøp
16.04.2025,Overføring,,-4500.0,Overføring
16.04.2025,Varekjøp,,-75.2,Varekjøp
16.04.2025,Varekjøp,,-625.0,Varekjøp
16.04.2025,Varekjøp,,-222.9,Varekjøp
16.04.2025,Varekjøp,,-717.6,Varekjøp
16.04.2025,Overføring,,-2500.0,Overføring
15.04.2025,Varekjøp,,-958.15,Varekjøp
15.04.2025,Varekjøp,,-229.75,Varekjøp
15.04.2025,Varekjøp,,-320.0,Varekjøp
15.04.2025,Varekjøp,,-73.05,Varekjøp
15.04.2025,Varekjøp,,-161.3,Varekjøp
15.04.2025,Varekjøp,,-99.0,Varekjøp
15.04.2025,Varekjøp,,-171.6,Varekjøp
15.04.2025,Varekjøp,,-1980.0,Varekjøp
14.04.2025,Varekjøp,,-216.0,Varekjøp
14.04.2025,Varekjøp,,-116.0,Varekjøp
14.04.2025,Varekjøp,,-31.6,Varekjøp
14.04.2025,Varekjøp,,-135.7,Varekjøp
14.04.2025,Varekjøp,,-319.55,Varekjøp
14.04.2025,Varekjøp,,-201.25,Varekjøp
14.04.2025,Varekjøp,,-5.6,Varekjøp
14.04.2025,Varekjøp,,-63.6,Varekjøp
14.04.2025,Varekjøp,,-159.7,Varekjøp
14.04.2025,Betaling innland,,-100.0,Betaling innland
11.04.2025,Overføring,,-1000.0,Overføring
11.04.2025,Overføring,,-8000.0,Overføring
11.04.2025,Varekjøp,,-134.8,Varekjøp
11.04.2025,Varekjøp,,-152.2,Varekjøp
10.04.2025,Varekjøp,,-858.4,Varekjøp
10.04.2025,Betaling innland - eFaktura,,-200.0,Betaling innland - eFaktura
10.04.2025,Varekjøp,,-545.0,Varekjøp
08.04.2025,Varekjøp,,-144.0,Varekjøp
08.04.2025,Varekjøp,,-216.6,Varekjøp
08.04.2025,Varekjøp,,-62.0,Varekjøp
08.04.2025,Varekjøp,,-367.47,Varekjøp
07.04.2025,Varekjøp,,-478.0,Varekjøp
07.04.2025,Varekjøp,,-35.0,Varekjøp
07.04.2025,immediate,,-180.0,immediate
07.04.2025,Varekjøp,,-8.0,Varekjøp
07.04.2025,Varekjøp,,-121.6,Varekjøp
07.04.2025,Varekjøp,,-248.4,Varekjøp
07.04.2025,Varekjøp,,-346.8,Varekjøp
07.04.2025,Varekjøp,,-134.8,Varekjøp
07.04.2025,Varekjøp,,-338.76,Varekjøp
07.04.2025,Varekjøp,,-18.0,Varekjøp
07.04.2025,Varekjøp,,-201.25,Varekjøp
07.04.2025,Betaling innland,,-660.0,Betaling innland
04.04.2025,Varekjøp,,-256.2,Varekjøp
03.04.2025,Overføring,,-1500.0,Overføring
03.04.2025,Varekjøp,,-134.4,Varekjøp
03.04.2025,immediate,,-270.0,immediate
02.04.2025,Varekjøp,,-146.23,Varekjøp
02.04.2025,immediate,,-180.0,immediate
01.04.2025,Varekjøp,,-247.7,Varekjøp
01.04.2025,Varekjøp,,-173.35,Varekjøp
01.04.2025,Varekjøp,,-48.84,Varekjøp
01.04.2025,Overføring,,-8000.0,Overføring
01.04.2025,Overføring,,-2000.0,Overføring
31.03.2025,Varekjøp,,-120.0,Varekjøp
31.03.2025,Varekjøp,,-238.39,Varekjøp
31.03.2025,Varekjøp,,-302.0,Varekjøp
31.03.2025,Varekjøp,,-315.49,Varekjøp
31.03.2025,Varekjøp,,-164.8,Varekjøp
28.03.2025,Varekjøp,,-219.05,Varekjøp
26.03.2025,Varekjøp,,-149.7,Varekjøp
26.03.2025,Varekjøp,,-131.9,Varekjøp
25.03.2025,Varekjøp,,-479.0,Varekjøp
25.03.2025,immediate,,-100.0,immediate
24.03.2025,Varekjøp,,-162.0,Varekjøp
24.03.2025,Varekjøp,,-35.0,Varekjøp
24.03.2025,Varekjøp,,-29.0,Varekjøp
24.03.2025,Varekjøp,,-135.8,Varekjøp
24.03.2025,Varekjøp,,-58.8,Varekjøp
24.03.2025,Varekjøp,,-71.0,Varekjøp
24.03.2025,Varekjøp,,-57.8,Varekjøp
24.03.2025,Varekjøp,,-210.0,Varekjøp
21.03.2025,Varekjøp,,-447.76,Varekjøp
20.03.2025,Varekjøp,,-67.55,Varekjøp
20.03.2025,Varekjøp,,-717.6,Varekjøp
20.03.2025,Betaling innland,,-6000.0,Betaling innland
20.03.2025,Varekjøp,,-86.4,Varekjøp
19.03.2025,Varekjøp,,-186.7,Varekjøp
19.03.2025,Varekjøp,,-296.3,Varekjøp
18.03.2025,Varekjøp,,-865.0,Varekjøp
18.03.2025,Varekjøp,,-10.0,Varekjøp
17.03.2025,Varekjøp,,-150.8,Varekjøp
17.03.2025,immediate,,-190.0,immediate
17.03.2025,Varekjøp,,-594.64,Varekjøp
17.03.2025,Varekjøp,,-105.2,Varekjøp
17.03.2025,Varekjøp,,-184.5,Varekjøp
17.03.2025,Varekjøp,,-238.4,Varekjøp
14.03.2025,Varekjøp,,-539.68,Varekjøp
14.03.2025,Varekjøp,,-15.0,Varekjøp
14.03.2025,Betaling innland,,-100.0,Betaling innland
13.03.2025,Varekjøp,,-458.0,Varekjøp
13.03.2025,Overføring,,-5000.0,Overføring
13.03.2025,Varekjøp,,-595.0,Varekjøp
